timestamp,plant_id,temperature_c,wind_speed_ms,wind_speed_80m,wind_speed_120m,wind_direction_deg,humidity_pct
2022-01-01 00:00:00,1,16.24,4.045,4.045,4.416,205.4,53.81
2022-01-01 00:00:00,2,13.39,3.824,3.824,4.385,203.1,58.3
2022-01-01 00:00:00,3,14.27,3.254,3.254,3.579,208.4,51.93
2022-01-01 00:00:00,4,13.95,1.103,1.103,0.94,198.3,56.94
2022-01-01 00:00:00,5,17.64,4.294,4.294,4.562,206.5,51.47
2022-01-01 00:00:00,6,11.11,4.368,4.368,4.643,197.6,47.93
2022-01-01 00:00:00,7,11.73,6.438,6.438,6.784,198.3,54.82
2022-01-01 00:00:00,8,12.51,5.894,5.894,6.3,196.1,45.8
2022-01-01 00:30:00,1,17.64,5.307,5.307,5.54,241.1,49.68
2022-01-01 00:30:00,2,12.53,4.233,4.233,4.028,235.6,57.78
2022-01-01 00:30:00,3,14.7,3.985,3.985,4.348,247.6,55.03
2022-01-01 00:30:00,4,14.79,3.25,3.25,3.463,246.3,56.29
2022-01-01 00:30:00,5,16.33,3.972,3.972,3.991,253.7,51.21
2022-01-01 00:30:00,6,11.36,4.099,4.099,4.322,242.1,52.71
2022-01-01 00:30:00,7,12.46,3.034,3.034,3.331,240.7,57.43
2022-01-01 00:30:00,8,11.84,3.836,3.836,3.999,239.1,53.85
2022-01-01 01:00:00,1,16.17,2.674,2.674,2.588,234.6,55.02
2022-01-01 01:00:00,2,12.11,4.455,4.455,4.723,225.4,55.92
2022-01-01 01:00:00,3,15.36,1.65,1.65,1.719,229.5,51.39
2022-01-01 01:00:00,4,15.94,4.488,4.488,4.627,224.2,53.0
2022-01-01 01:00:00,5,17.69,4.453,4.453,4.752,240.5,48.13
2022-01-01 01:00:00,6,11.49,3.328,3.328,3.496,228.5,55.08
2022-01-01 01:00:00,7,12.66,0.0,0.0,0.0,220.1,55.43
2022-01-01 01:00:00,8,11.53,3.835,3.835,3.875,225.2,54.46
2022-01-01 01:30:00,1,18.36,3.534,3.534,3.581,184.2,52.35
2022-01-01 01:30:00,2,14.66,3.902,3.902,4.459,184.2,47.86
2022-01-01 01:30:00,3,15.05,3.576,3.576,3.9,194.2,50.88
2022-01-01 01:30:00,4,15.56,4.02,4.02,3.973,196.3,57.14
2022-01-01 01:30:00,5,17.53,4.018,4.018,3.798,205.3,46.95
2022-01-01 01:30:00,6,12.94,3.317,3.317,3.882,189.8,50.29
2022-01-01 01:30:00,7,13.62,3.764,3.764,4.156,192.1,51.63
2022-01-01 01:30:00,8,11.65,2.958,2.958,3.302,184.9,52.56
2022-01-01 02:00:00,1,17.28,3.006,3.006,2.997,198.8,50.08
2022-01-01 02:00:00,2,14.74,5.364,5.364,5.592,206.8,53.57
2022-01-01 02:00:00,3,15.24,4.199,4.199,4.23,207.3,51.32
2022-01-01 02:00:00,4,16.49,2.548,2.548,3.039,213.7,52.85
2022-01-01 02:00:00,5,18.02,3.506,3.506,3.617,221.6,51.67
2022-01-01 02:00:00,6,12.83,4.04,4.04,4.486,210.1,47.07
2022-01-01 02:00:00,7,13.19,4.912,4.912,5.16,199.5,49.42
2022-01-01 02:00:00,8,12.34,2.801,2.801,3.072,208.7,52.08
2022-01-01 02:30:00,1,18.27,3.962,3.962,4.224,251.9,48.52
2022-01-01 02:30:00,2,15.85,4.371,4.371,4.653,248.9,55.04
2022-01-01 02:30:00,3,16.39,4.343,4.343,4.893,262.1,47.77
